api,definition_file,definition_kind,responsibility,bj_added_owner,caller_file_count,production_callers,test_callers,helper_callers,script_callers,caller_files
game.speaker_contract_enforcement.enforce_emitted_speaker_with_contract,game/speaker_contract_enforcement.py,FunctionDef,speaker finalization,False,6,1,5,0,0,game/final_emission_strict_social_stack.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py
tests.helpers.gate_equivalence_monkeypatch.patch_get_speaker_selection_contract,tests/helpers/gate_equivalence_monkeypatch.py,FunctionDef,gate orchestration/preflight,False,6,0,5,1,0,tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_golden_replay_direct_seam.py
game.diegetic_fallback_narration.fallback_template_metadata,game/diegetic_fallback_narration.py,FunctionDef,fallback selection/projection,False,5,3,2,0,0,game/final_emission_generic_exit.py;game/final_emission_opening_fallback.py;game/upstream_response_repairs.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_opening_fallback.py
game.emitted_speaker_signature.detect_emitted_speaker_signature,game/emitted_speaker_signature.py,FunctionDef,speaker finalization,False,5,2,1,2,0,game/post_emission_speaker_adoption.py;game/speaker_contract_enforcement.py;tests/helpers/post_speaker_finalize_probe.py;tests/helpers/speaker_contract_risk.py;tests/test_speaker_contract_enforcement.py
game.final_emission_scene_state_anchor.apply_scene_state_anchor_layer,game/final_emission_scene_state_anchor.py,FunctionDef,final-emission policy/metadata,True,5,2,3,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_scene_state_anchor.py;tests/test_narrative_authority_rules.py;tests/test_scene_state_anchoring.py
game.final_emission_validators.validate_fallback_behavior,game/final_emission_validators.py,FunctionDef,final-emission policy/metadata,False,5,1,4,0,0,game/final_emission_repairs.py;tests/test_bounded_partial_quality.py;tests/test_fallback_behavior_validator.py;tests/test_final_emission_repairs.py;tests/test_social_fallback_leak_containment.py
game.output_sanitizer.sanitize_player_facing_output,game/output_sanitizer.py,FunctionDef,sanitizer boundary,False,5,2,3,0,0,game/api_turn_support.py;game/final_emission_gate_preflight_strict_social.py;tests/test_final_emission_boundary_convergence.py;tests/test_output_sanitizer.py;tests/test_social_exchange_emission.py
game.runtime_lineage_telemetry.normalize_runtime_lineage_events,game/runtime_lineage_telemetry.py,FunctionDef,semantic replacement attribution,False,5,0,1,4,0,tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/helpers/golden_replay_projection.py;tests/helpers/runtime_lineage_reporting.py;tests/test_runtime_lineage_telemetry.py
tests.helpers.dialogue_social_plan.attach_dialogue_social_plan_to_resolution,tests/helpers/dialogue_social_plan.py,FunctionDef,strict-social composition,False,5,0,5,0,0,tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_golden_replay_direct_seam.py;tests/test_strict_social_emergency_fallback_dialogue.py
tests.helpers.failure_classification_sync.assert_split_owner_matrix_lineage_event,tests/helpers/failure_classification_sync.py,FunctionDef,supporting contract/test,False,5,0,5,0,0,tests/test_failure_classifier.py;tests/test_failure_dashboard_controlled_failures.py;tests/test_golden_replay_fallback_projection.py;tests/test_replacement_attribution_inventory.py;tests/test_runtime_lineage_telemetry.py
